"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"ATC_Actin_associated",5,0,0.6,"Up",0.0055,0.09765,0.057,0.16275
"P_Calpain",4,0,1,"Up",0.009,0.09765,0.01,0.153892857142857
"I_FAK_ERK",19,0.0526315789473684,0.315789473684211,"Up",0.0125,0.09765,0.018,0.153892857142857
"PIEZO",2,0,1,"Up",0.014,0.09765,0.0285,0.153892857142857
"I_RhoA",20,0.05,0.3,"Up",0.016,0.09765,0.058,0.16275
"I_ILK",16,0.0625,0.375,"Up",0.026,0.133041666666667,0.028,0.153892857142857
"I_FAX_Paxillin",16,0.0625,0.3125,"Up",0.0355,0.156107142857143,0.035,0.153892857142857
"Integrins",11,0.0909090909090909,0.363636363636364,"Up",0.0545,0.173729166666667,0.0335,0.153892857142857
"ATC_Actin",6,0,0.666666666666667,"Up",0.0555,0.173729166666667,0.0125,0.153892857142857
"P_RhoA",10,0,0.3,"Up",0.057,0.173729166666667,0.205,0.30225
"TLR_NFkB",6,0,0.333333333333333,"Up",0.0625,0.173729166666667,0.108,0.238589285714286
"P_MMP",8,0,0.5,"Up",0.0675,0.173729166666667,0.235,0.330784090909091
"P_PI3K_Akt",9,0.111111111111111,0.222222222222222,"Up",0.087,0.206865384615385,0.0415,0.15984375
"C_YAP_TAZ",9,0.111111111111111,0.111111111111111,"Up",0.1065,0.235267857142857,0.1395,0.267602941176471
"TLRs",3,0,0.333333333333333,"Up",0.1285,0.26505,0.3075,0.396864583333333
"ATC_RhoA",7,0,0.142857142857143,"Up",0.14,0.270765625,0.5295,0.607657407407407
"TLR_MAPK",6,0,0.166666666666667,"Up",0.177,0.304402777777778,0.2635,0.354815217391304
"Cadherins",3,0,0,"Up",0.177,0.304402777777778,0.428,0.510009615384615
"ATC_Tubulin",5,0,0.4,"Up",0.2045,0.33325,0.175,0.285118421052632
"C_RhoA",6,0,0.166666666666667,"Up",0.2265,0.3506875,0.391,0.48453
"S_RhoA",7,0,0.142857142857143,"Up",0.2465,0.363511904761905,0.774,0.799541666666667
"S_PI3K_Akt",10,0,0,"Up",0.379,0.513858695652174,0.5975,0.661241071428572
"YAP_TAZ",5,0.2,0.2,"Up",0.3815,0.513858695652174,0.053,0.16275
"G_RhoA",8,0.125,0.125,"Up",0.4075,0.52603125,0.163,0.280291666666667
"G_cAMP_PKA",10,0.1,0.1,"Up",0.539,0.66805,0.117,0.241283333333333
"G_Ras_MAPK",9,0.222222222222222,0,"Up",0.799,0.922784482758621,0.089,0.211634615384615
"SACs",4,0,0,"Up",0.8205,0.922784482758621,0.8955,0.8955
"T_TRP",9,0,0,"Up",0.8535,0.922784482758621,0.6805,0.727163793103448
"GPCRs",3,0.333333333333333,0,"Down",0.8635,0.922784482758621,0.08,0.206020833333333
"Hippo",5,0.2,0,"Up",0.941,0.96325,0.196,0.30225
"TMCs",2,0,0,"Down",0.9635,0.9635,0.147,0.267602941176471
"Ion_channels",0,NA,NA,"Down",NA,NA,NA,NA
