"NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","SignedProp","EnrichedIn","Pathway"
2,1,0,"Down",0.018,0.36975,0.018,0.1286875,-1,"2D","TLR_MAPK"
5,0.4,0,"Down",0.0345,0.36975,0.1055,0.21605,-0.4,"2D","C_RhoA"
8,0.375,0,"Down",0.0385,0.36975,0.1985,0.319402777777778,-0.375,"2D","P_PI3K_Akt"
1,0,1,"Up",0.085,0.6144375,0.085,0.21605,1,"Dynamic","SACs"
6,0.333333333333333,0,"Down",0.1235,0.64525,0.0505,0.18215625,-0.333333333333333,"2D","G_Ras_MAPK"
7,0.285714285714286,0.142857142857143,"Down",0.1365,0.64525,0.0745,0.21605,-0.285714285714286,"2D","S_PI3K_Akt"
5,0.2,0,"Down",0.156,0.64525,0.5685,0.65917,-0.2,"2D","G_cAMP_PKA"
4,0.5,0.25,"Down",0.2215,0.80203125,0.036,0.150178571428571,-0.5,"2D","S_RhoA"
13,0.307692307692308,0.230769230769231,"Down",0.2645,0.83665,0.01,0.113583333333333,-0.307692307692308,"2D","I_FAX_Paxillin"
5,0.2,0,"Down",0.3775,0.83665,0.429,0.540597826086957,-0.2,"2D","Hippo"
3,0.333333333333333,0,"Down",0.382,0.83665,0.3515,0.485059523809524,-0.333333333333333,"2D","P_Calpain"
6,0.333333333333333,0.166666666666667,"Down",0.3985,0.83665,0.0265,0.150178571428571,-0.333333333333333,"2D","ATC_RhoA"
3,0,0.333333333333333,"Up",0.4135,0.83665,0.704,0.78487962962963,0.333333333333333,"Dynamic","P_MMP"
8,0.25,0.125,"Down",0.4265,0.83665,0.0895,0.21605,-0.25,"2D","P_RhoA"
14,0.142857142857143,0.214285714285714,"Up",0.433,0.83665,0.0915,0.21605,0.214285714285714,"Dynamic","I_ILK"
5,0.2,0.2,"Up",0.5055,0.8544125,0.112,0.21605,0.2,"Dynamic","ATC_Actin_associated"
2,0,0,"Down",0.5425,0.8544125,0.3795,0.499920454545455,0,"2D","Cadherins"
5,0.4,0.2,"Down",0.567,0.8544125,0.0985,0.21605,-0.4,"2D","G_RhoA"
1,0,0,"Up",0.567,0.8544125,0.567,0.65917,0,"Dynamic","GPCRs"
5,0,0,"Up",0.5895,0.8544125,0.731,0.78487962962963,0,"Dynamic","ATC_Tubulin"
16,0.25,0.25,"Down",0.626,0.864130952380952,0.008,0.113583333333333,-0.25,"2D","I_FAK_ERK"
9,0.222222222222222,0.333333333333333,"Up",0.7165,0.89446875,0.0365,0.150178571428571,0.333333333333333,"Dynamic","Integrins"
3,0.333333333333333,0.333333333333333,"Up",0.74,0.89446875,0.246,0.3563375,0.333333333333333,"Dynamic","T_TRP"
3,0,0,"Up",0.7405,0.89446875,0.9625,0.9625,0,"Dynamic","TLR_NFkB"
1,0,0,"Up",0.82,0.911083333333333,0.82,0.849026785714286,0,"Dynamic","PIEZO"
17,0.235294117647059,0.235294117647059,"Down",0.8475,0.911083333333333,0.012,0.113583333333333,-0.235294117647059,"2D","I_RhoA"
6,0,0.166666666666667,"Up",0.8485,0.911083333333333,0.1965,0.319402777777778,0.166666666666667,"Dynamic","YAP_TAZ"
5,0.2,0,"Up",0.899,0.930848214285714,0.2385,0.3563375,0,"Dynamic","ATC_Actin"
8,0,0.125,"Down",0.986,0.986,0.197,0.319402777777778,0,"2D","C_YAP_TAZ"
